product_id,product_ref,currency_id,name,description,sku,isbn,mpn,category_id,price,cost,code,keywords,barcode,quantity,minimum_quantity,re_order_level,current_stock,rack_no,subtract_stock,image_id,status,created_at,created_user_id,updated_at,updated_user_id
1,c5a9e945-8afc-11eb-939b-002590fd1374,1,Grinder Switch,,1267*,,,272.0,380.0,202.0,1,,,0,1,1,0,All,1,,1,2021-03-22 16:22:32,5,2024-12-25 04:03:47,5.0
2,00bc0108-8afe-11eb-939b-002590fd1374,1,Cut-Off Machine 1600W 355MM SF-3551,,1254,,,4.0,19500.0,15990.0,1,,,1,1,1,0,All,1,,1,2021-03-22 16:31:20,5,2021-09-24 10:09:56,5.0
3,0bce1884-8aff-11eb-939b-002590fd1374,1,Cut-Off Machine Hugo,,CM-4714,,,4.0,20000.0,19180.0,1,,,2,1,1,0,All,1,,1,2021-03-22 16:38:48,5,2021-03-22 12:26:05,
4,0a86c604-8b00-11eb-939b-002590fd1374,1,Core Drill Bit 12mm,,1264*,,,32.0,780.0,515.0,1,,,1,1,3,0,All,1,,1,2021-03-22 16:45:55,5,2024-11-21 03:57:19,5.0
5,91d29c56-8b00-11eb-939b-002590fd1374,1,Electric Sprayer 16L A-Sprayer,,1265*,,,291.0,12600.0,8000.0,1,,,9,1,3,0,All,1,,1,2021-03-22 16:49:42,5,2025-03-21 08:33:47,5.0
6,0573d2d2-8b01-11eb-939b-002590fd1374,1,Saw Blade 7x24 Coco Saw CIR7X24,,1489,,,4.0,1350.0,795.0,1,,,1,1,3,0,K-35,1,,1,2021-03-22 16:52:56,5,2024-10-30 11:37:49,5.0
7,2aa8002e-8b01-11eb-939b-002590fd1374,1,HSS Hall saw bit ehpl 32mm,,1486,,,50.0,1350.0,872.0,1,,,5,1,1,0,K-35,1,,1,2021-03-22 16:53:59,5,2024-01-27 12:09:43,5.0
8,57f52599-8b01-11eb-939b-002590fd1374,1,Hand Saw Spear & Jackson 20 HAN20SJ,,1333*,,,126.0,4600.0,3239.28,1,,,1,1,1,0,M-4,1,,1,2021-03-22 16:55:15,5,2025-03-20 04:55:56,5.0
9,7c4e073a-8b01-11eb-939b-002590fd1374,1,Hand Saw 22 Spear & Jackson,,HAN22SJ,,,126.0,3250.0,2500.0,1,,,0,1,1,0,All,1,,1,2021-03-22 16:56:16,5,2022-09-15 16:25:15,5.0
10,9ff2d775-8b01-11eb-939b-002590fd1374,1,Welding Cable (1 ft) WC-010 300AMP,,1492*,,,209.0,850.0,606.0,1,,,0,1,10,0,A-20,1,,1,2021-03-22 16:57:15,5,2023-07-09 17:00:21,5.0
11,d3baec1e-8b01-11eb-939b-002590fd1374,1,Welding Holder 800A ,,1332*,,,209.0,3950.0,2850.0,1,,,0,1,1,0,All,1,,1,2021-03-22 16:58:42,5,2024-08-05 03:44:34,5.0
12,f9f3ed27-8b01-11eb-939b-002590fd1374,1,Welding Holder 500A Asaki,,AK-2042,,,209.0,1650.0,1250.0,1,,,2,1,1,0,All,1,,1,2021-03-22 16:59:46,5,2021-11-03 09:28:19,5.0
13,2baa63a5-8b02-11eb-939b-002590fd1374,1,Cutting Nozel Murex 1/64-PNME,,4423*,,,25.0,2200.0,1195.0,1,,,1,1,3,0,All,1,,1,2021-03-22 17:01:10,5,2024-03-23 10:57:44,5.0
14,48476f00-8b02-11eb-939b-002590fd1374,1,Cutting Nozzle Murex 3/64-PNME,,1442*,,,25.0,2200.0,1195.0,1,,,3,1,1,0,T-3,1,,1,2021-03-22 17:01:58,5,2024-12-23 06:34:11,5.0
15,615fc9b6-8b02-11eb-939b-002590fd1374,1,Cutting Nozel Murex 1/16- PNME,,2142*,,,25.0,1650.0,800.0,1,,,0,1,1,0,All,1,,1,2021-03-22 17:02:40,5,2025-01-28 09:38:33,5.0
16,79803974-8b02-11eb-939b-002590fd1374,1,Cutting Nozle Murex 1/32-ANME,,2143,,,25.0,1150.0,650.0,1,,,0,1,1,0,All,1,,1,2021-03-22 17:03:20,5,2024-10-19 11:45:38,5.0
17,93b11c76-8b02-11eb-939b-002590fd1374,1,Cutting Nozel Murex 1/16-ANME,,4425*,,,25.0,1980.0,1000.0,1,,,20,1,1,0,All,1,,1,2021-03-22 17:04:04,5,2025-02-19 12:44:18,5.0
18,b4d40bcb-8b02-11eb-939b-002590fd1374,1,Welding Cutter ,,NM-250,,,209.0,7500.0,5750.0,1,,,0,1,1,0,All,1,,1,2021-03-22 17:05:00,5,2021-11-03 09:27:45,5.0
19,d28ba895-8b02-11eb-939b-002590fd1374,1,Hand Rivert 13 Indrastial,,1053*,,,49.0,4850.0,3500.0,1,,,1,1,1,0,All,1,,1,2021-03-22 17:05:50,5,2024-11-25 04:25:59,5.0
20,f6c38115-8b02-11eb-939b-002590fd1374,1,Aviation snips (power) ,,1231*,,,4.0,1460.0,825.0,1,,,1,1,1,0,P-1,1,,1,2021-03-22 17:06:51,5,2025-03-22 10:36:52,5.0
21,18ad8d76-8b03-11eb-939b-002590fd1374,1,Pop Rivert 1/8X1/4,,1024*,,,175.0,2.8,1.25,1,,,176,1,150,0,C-3,1,,1,2021-03-22 17:07:47,5,2025-03-03 05:00:47,5.0
22,9ed55ec6-8b03-11eb-939b-002590fd1374,1,Glass Door Lock,,1269*,,,158.0,4980.0,3510.0,1,,,2,1,1,0,All,1,,1,2021-03-22 17:11:32,5,2024-03-09 09:17:54,5.0
23,c7a11caa-8b03-11eb-939b-002590fd1374,1,Electric Drill 450W 10MM Hugo,,re entry,,,4.0,6950.0,4865.0,1,,,0,1,1,0,All,1,,1,2021-03-22 17:12:41,5,2022-03-14 14:57:33,4.0
24,0000cfd5-8b04-11eb-939b-002590fd1374,1,Electric Drill 350W 6MM Hugo,,re entry,,,4.0,5750.0,4025.0,1,,,0,1,1,0,All,1,,1,2021-03-22 17:14:15,5,2022-03-14 16:01:13,4.0
25,2e2770ca-8b04-11eb-939b-002590fd1374,1,Drill Bits ,,1266*,,,4.0,280.0,133.0,1,,,1,1,1,0,K-14,1,,1,2021-03-22 17:15:33,5,2024-12-23 09:26:22,5.0
26,4e23de38-8b04-11eb-939b-002590fd1374,1,Drill Switch 13mm,,1268*,,,272.0,880.0,490.0,1,,,4,1,1,0,All,1,,1,2021-03-22 17:16:27,5,2024-10-07 04:35:04,5.0
27,6c32ab75-8b04-11eb-939b-002590fd1374,1,Angle Grinder 115W 850mm Hugo,,AG-4715,,,3.0,7950.0,5565.0,1,,,0,1,1,0,All,1,,1,2021-03-22 17:17:17,5,2021-07-21 11:57:49,5.0
28,8fe7259f-8b04-11eb-939b-002590fd1374,1,Cupboad Handle,,1270*,,,237.0,160.0,86.07,1,,,1,1,1,0,All,1,,1,2021-03-22 17:18:17,5,2024-12-03 07:33:11,5.0
29,b7e7efc6-8b04-11eb-939b-002590fd1374,1,Drill Bit 2mm,,1271*,,,32.0,180.0,75.0,1,,,15,1,1,0,N-1,1,,1,2021-03-22 17:19:24,5,2025-03-18 11:29:03,5.0
30,ecff6996-8b04-11eb-939b-002590fd1374,1,Saw Wheel PE No 2,,1262*,,,80.0,2310.0,1350.0,1,,,3,1,1,0,All,1,,1,2021-03-22 17:20:53,5,2025-03-20 04:55:56,5.0
31,25e38cad-8b05-11eb-939b-002590fd1374,1,Aviaton Snipper Straight Asaki,,AK-0335,,,4.0,1650.0,980.0,1,,,1,1,1,0,All,1,,1,2021-03-22 17:22:29,5,2021-04-09 07:03:08,
32,798a5f88-8b05-11eb-939b-002590fd1374,1,W/B All in 1 timber sheen walnut 1L ,,1229**,,,,6150.0,3690.0,1,,,7,1,1,0,B-2,1,,1,2021-03-22 17:24:49,5,2024-11-29 05:21:19,5.0
33,a0752184-8b05-11eb-939b-002590fd1374,1,Electric Jigsaw Hugo JS-4160,,1263*,,,4.0,19500.0,12600.0,1,,,1,1,1,0,P-2,1,,1,2021-03-22 17:25:54,5,2022-08-02 17:55:07,5.0
34,c5555aae-8b05-11eb-939b-002590fd1374,1,Cordless Dril 10MM 12V Hugo CD-4110,,1259,,,4.0,13000.0,7560.0,1,,,1,1,1,0,P-2,1,,1,2021-03-22 17:26:56,5,2023-07-12 03:29:41,5.0
35,e81f8f87-8b05-11eb-939b-002590fd1374,1,Branch Saw saworai,,1250*,,,126.0,1300.0,820.0,1,,,1,1,1,0,All,1,,1,2021-03-22 17:27:54,5,2025-03-01 10:51:15,5.0
36,37193227-8b06-11eb-939b-002590fd1374,1,High Pressure Washer Power Action,,1502*,,,4.0,49500.0,26400.0,1,,,1,1,1,0,All,1,,1,2021-03-22 17:30:07,5,2024-07-18 12:22:15,5.0
37,8306c848-8b06-11eb-939b-002590fd1374,1,Hand Riveter Tekiro ,,GT-HR1823,,,4.0,1950.0,1490.0,1,,,0,1,1,0,All,1,,1,2021-03-22 17:32:14,5,2021-07-05 10:28:55,
38,c5f5bda8-8b06-11eb-939b-002590fd1374,1,Welding Double Horse (1M),,1493*,,,209.0,1250.0,700.0,1,,,32,1,20,0,A-20,1,,1,2021-03-22 17:34:07,5,2025-02-20 06:34:54,5.0
