return_product_id,return_product_ref,return_id,product_id,quantity,total,status,created_at,created_user_id,updated_at,updated_user_id
1,992a4da6-9388-11eb-939b-002590fd1374,1,336,5.0,4875.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
2,992b7e3a-9388-11eb-939b-002590fd1374,1,337,5.0,350.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
3,992c8213-9388-11eb-939b-002590fd1374,1,338,5.0,375.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
4,992d5450-9388-11eb-939b-002590fd1374,1,339,5.0,400.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
5,992e14b2-9388-11eb-939b-002590fd1374,1,340,5.0,475.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
6,992edd14-9388-11eb-939b-002590fd1374,1,341,5.0,550.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
7,992fac4d-9388-11eb-939b-002590fd1374,1,342,5.0,750.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
8,99307428-9388-11eb-939b-002590fd1374,1,343,5.0,1450.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
9,99313775-9388-11eb-939b-002590fd1374,1,344,5.0,1950.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
10,99320a49-9388-11eb-939b-002590fd1374,1,347,7.0,3220.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
11,99332be9-9388-11eb-939b-002590fd1374,1,348,7.0,3710.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
12,99342853-9388-11eb-939b-002590fd1374,1,349,5.0,875.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
13,99351413-9388-11eb-939b-002590fd1374,1,350,5.0,875.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
14,9935fbfb-9388-11eb-939b-002590fd1374,1,351,5.0,1150.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
15,9936bc7a-9388-11eb-939b-002590fd1374,1,352,5.0,1250.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
16,99378144-9388-11eb-939b-002590fd1374,1,353,5.0,1450.0,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
17,b7b11bd2-9388-11eb-939b-002590fd1374,2,282,3.0,2625.0,1,2021-04-02 13:24:08,5,2021-04-02 07:54:08,
18,dbe6c72a-9396-11eb-939b-002590fd1374,3,360,1.0,21500.0,1,2021-04-02 15:05:22,5,2021-04-02 09:35:22,
19,1781fb1e-9397-11eb-939b-002590fd1374,4,362,4.0,580.0,1,2021-04-02 15:07:02,5,2021-04-02 09:37:02,
20,1782d149-9397-11eb-939b-002590fd1374,4,367,2.0,4750.0,1,2021-04-02 15:07:02,5,2021-04-02 09:37:02,
21,40709535-9693-11eb-939b-002590fd1374,5,214,1.0,1450.0,1,2021-04-06 10:16:58,5,2021-04-06 04:46:58,
22,40715dc2-9693-11eb-939b-002590fd1374,5,195,1.0,480.0,1,2021-04-06 10:16:58,5,2021-04-06 04:46:58,
23,40721b5a-9693-11eb-939b-002590fd1374,5,216,1.0,1450.0,1,2021-04-06 10:16:58,5,2021-04-06 04:46:58,
24,2d36f064-a1b5-11eb-939b-002590fd1374,6,384,1.0,1800.0,1,2021-04-20 14:17:08,5,2021-04-20 08:47:08,
25,2d37f683-a1b5-11eb-939b-002590fd1374,6,383,1.0,1300.0,1,2021-04-20 14:17:08,5,2021-04-20 08:47:08,
26,b2c4af56-a359-11eb-8a3a-002590fd1374,7,152,1.0,1200.0,1,2021-04-22 16:28:40,5,2021-04-22 10:58:40,
27,ddbf9f9d-a427-11eb-8a3a-002590fd1374,8,282,3.0,2625.0,1,2021-04-23 17:04:27,5,2021-04-23 11:34:27,
28,f3d43c40-afb8-11eb-9ec8-002590fd1374,9,249,1.0,235.0,1,2021-05-08 10:20:45,5,2021-05-08 04:50:45,
29,ec9d2c10-b163-11eb-9ec8-002590fd1374,10,334,1.0,680.0,1,2021-05-10 13:17:05,5,2021-05-10 07:47:05,
30,cd5c85e5-b256-11eb-9ec8-002590fd1374,11,442,100.0,725.0,1,2021-05-11 18:15:38,4,2021-05-11 12:45:38,
31,70d1de13-b31d-11eb-9ec8-002590fd1374,12,469,10.0,3750.0,1,2021-05-12 17:57:31,5,2021-05-12 12:27:31,
32,70d34510-b31d-11eb-9ec8-002590fd1374,12,485,25.0,5500.0,1,2021-05-12 17:57:31,5,2021-05-12 12:27:31,
33,82688d94-b31e-11eb-9ec8-002590fd1374,13,491,10.0,6500.0,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
34,8269beb2-b31e-11eb-9ec8-002590fd1374,13,614,4.0,300.0,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
35,826ac356-b31e-11eb-9ec8-002590fd1374,13,570,1.0,390.0,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
36,826b9a59-b31e-11eb-9ec8-002590fd1374,13,625,100.0,375.0,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
37,826c6daf-b31e-11eb-9ec8-002590fd1374,13,659,1.0,75.0,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
38,826d3911-b31e-11eb-9ec8-002590fd1374,13,516,2.0,650.0,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
39,826e0c24-b31e-11eb-9ec8-002590fd1374,13,527,1.0,110.0,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
40,826ed559-b31e-11eb-9ec8-002590fd1374,13,679,46.0,14950.0,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
41,c11c49dd-b31e-11eb-9ec8-002590fd1374,14,693,1.0,230.0,1,2021-05-12 18:06:55,5,2021-05-12 12:36:55,
42,48bb01c2-b31f-11eb-9ec8-002590fd1374,15,679,2.0,650.0,1,2021-05-12 18:10:43,5,2021-05-12 12:40:43,
43,839d33f9-b31f-11eb-9ec8-002590fd1374,16,686,108.0,13500.0,1,2021-05-12 18:12:21,5,2021-05-12 12:42:21,
44,82c33f64-b3b5-11eb-9ec8-002590fd1374,17,718,1.0,6200.0,1,2021-05-13 12:06:03,5,2021-05-13 06:36:03,
45,82c458d1-b3b5-11eb-9ec8-002590fd1374,17,720,1.0,6200.0,1,2021-05-13 12:06:03,5,2021-05-13 06:36:03,
46,8d445205-b3b7-11eb-9ec8-002590fd1374,18,706,100.0,1800.0,1,2021-05-13 12:20:40,5,2021-05-13 06:50:40,
47,8d45b955-b3b7-11eb-9ec8-002590fd1374,18,787,25.0,850.0,1,2021-05-13 12:20:40,5,2021-05-13 06:50:40,
48,8d46d670-b3b7-11eb-9ec8-002590fd1374,18,789,40.0,3280.0,1,2021-05-13 12:20:40,5,2021-05-13 06:50:40,
49,599293dc-b3b8-11eb-9ec8-002590fd1374,19,733,1.0,520.0,1,2021-05-13 12:26:23,5,2021-05-13 06:56:23,
50,907d2ddb-b3ba-11eb-9ec8-002590fd1374,20,798,1.0,4949.0,1,2021-05-13 12:42:14,5,2021-05-13 07:12:14,
51,907e6a8d-b3ba-11eb-9ec8-002590fd1374,20,799,1.0,6700.0,1,2021-05-13 12:42:14,5,2021-05-13 07:12:14,
52,907f60e3-b3ba-11eb-9ec8-002590fd1374,20,800,100.0,10600.0,1,2021-05-13 12:42:14,5,2021-05-13 07:12:14,
53,c96684bc-b79a-11eb-8815-002590fd1374,21,340,1.0,195.0,1,2021-05-18 11:04:52,5,2021-05-18 05:34:52,
54,d8c910f8-b79a-11eb-8815-002590fd1374,22,340,1.0,195.0,1,2021-05-18 11:05:18,5,2021-05-18 05:35:18,
55,e3d9df9d-b79a-11eb-8815-002590fd1374,23,340,1.0,195.0,1,2021-05-18 11:05:36,5,2021-05-18 05:35:36,
56,c76df0bb-b7b1-11eb-8815-002590fd1374,24,254,1.0,2100.0,1,2021-05-18 13:49:27,5,2021-05-18 08:19:27,
57,f861fd18-b860-11eb-8815-002590fd1374,25,627,12.0,2400.0,1,2021-05-19 10:43:29,5,2021-05-19 05:13:29,
58,f86370c7-b860-11eb-8815-002590fd1374,25,282,1.0,1250.0,1,2021-05-19 10:43:29,5,2021-05-19 05:13:29,
59,03b02d72-b863-11eb-8815-002590fd1374,26,282,1.0,1250.0,1,2021-05-19 10:58:07,5,2021-05-19 05:28:07,
