return_id,return_ref,supplier_invoice_id,invoice_id,total,is_cash_paid,description,status,created_at,created_user_id,updated_at,updated_user_id
1,98d62e21-9388-11eb-939b-002590fd1374,151.0,,23705.0,0,,1,2021-04-02 13:23:16,5,2021-04-02 07:53:16,
2,b7b0f069-9388-11eb-939b-002590fd1374,150.0,,2625.0,0,,1,2021-04-02 13:24:08,5,2021-04-02 07:54:08,
3,dbe6a5bc-9396-11eb-939b-002590fd1374,152.0,,21500.0,0,,1,2021-04-02 15:05:22,5,2021-04-02 09:35:22,
4,1781c020-9397-11eb-939b-002590fd1374,153.0,,5330.0,0,,1,2021-04-02 15:07:02,5,2021-04-02 09:37:02,
5,40700b7a-9693-11eb-939b-002590fd1374,,64.0,3380.0,1,,1,2021-04-06 10:16:58,5,2021-04-06 04:46:58,
6,2d36cb77-a1b5-11eb-939b-002590fd1374,173.0,,3100.0,0,,1,2021-04-20 14:17:08,5,2021-04-20 08:47:08,
7,b2c46fdd-a359-11eb-8a3a-002590fd1374,,121.0,1200.0,1,,1,2021-04-22 16:28:40,5,2021-04-22 10:58:40,
8,ddbf6d94-a427-11eb-8a3a-002590fd1374,150.0,,2625.0,0,,1,2021-04-23 17:04:27,5,2021-04-23 11:34:27,
9,f3d4027c-afb8-11eb-9ec8-002590fd1374,,175.0,235.0,1,,1,2021-05-08 10:20:45,5,2021-05-08 04:50:45,
10,ec9cf8c2-b163-11eb-9ec8-002590fd1374,,208.0,680.0,1,,1,2021-05-10 13:17:05,5,2021-05-10 07:47:05,
11,cd5c578b-b256-11eb-9ec8-002590fd1374,192.0,,725.0,0,,1,2021-05-11 18:15:38,4,2021-05-11 12:45:38,
12,70d19aab-b31d-11eb-9ec8-002590fd1374,193.0,,9250.0,0,,1,2021-05-12 17:57:31,5,2021-05-12 12:27:31,
13,82685e70-b31e-11eb-9ec8-002590fd1374,193.0,,23350.0,0,,1,2021-05-12 18:05:10,5,2021-05-12 12:35:10,
14,c11c0b3e-b31e-11eb-9ec8-002590fd1374,193.0,,230.0,0,,1,2021-05-12 18:06:55,5,2021-05-12 12:36:55,
15,48babe6a-b31f-11eb-9ec8-002590fd1374,193.0,,650.0,0,,1,2021-05-12 18:10:43,5,2021-05-12 12:40:43,
16,839d0625-b31f-11eb-9ec8-002590fd1374,193.0,,13500.0,0,,1,2021-05-12 18:12:21,5,2021-05-12 12:42:21,
17,82c30cfc-b3b5-11eb-9ec8-002590fd1374,195.0,,12400.0,0,,1,2021-05-13 12:06:03,5,2021-05-13 06:36:03,
18,8d43e66b-b3b7-11eb-9ec8-002590fd1374,198.0,,5930.0,0,,1,2021-05-13 12:20:40,5,2021-05-13 06:50:40,
19,59925d43-b3b8-11eb-9ec8-002590fd1374,199.0,,520.0,0,,1,2021-05-13 12:26:23,5,2021-05-13 06:56:23,
20,907cf07d-b3ba-11eb-9ec8-002590fd1374,201.0,,22249.0,0,,1,2021-05-13 12:42:14,5,2021-05-13 07:12:14,
21,c9664022-b79a-11eb-8815-002590fd1374,,234.0,195.0,1,,1,2021-05-18 11:04:52,5,2021-05-18 05:34:52,
22,d8c8dbf8-b79a-11eb-8815-002590fd1374,,235.0,195.0,1,,1,2021-05-18 11:05:18,5,2021-05-18 05:35:18,
23,e3d96fde-b79a-11eb-8815-002590fd1374,,236.0,195.0,1,,1,2021-05-18 11:05:36,5,2021-05-18 05:35:36,
24,c76dbb49-b7b1-11eb-8815-002590fd1374,,232.0,2100.0,1,,1,2021-05-18 13:49:27,5,2021-05-18 08:19:27,
25,f861bc3f-b860-11eb-8815-002590fd1374,,245.0,3650.0,0,,1,2021-05-19 10:43:29,5,2021-05-19 05:13:29,
26,03afe64c-b863-11eb-8815-002590fd1374,,243.0,3650.0,1,,1,2021-05-19 10:58:07,5,2021-05-19 05:28:07,
27,178221ec-d63b-11eb-a68c-002590fd1374,,278.0,350.0,1,,1,2021-06-26 10:28:00,5,2021-06-26 04:58:00,
28,bb789260-e6f8-11eb-8322-002590fd1374,247.0,,663.0,0,,1,2021-07-17 17:45:19,5,2021-07-17 12:15:19,
29,6565702a-e781-11eb-8322-002590fd1374,,361.0,2980.0,1,,1,2021-07-18 10:03:34,5,2021-07-18 04:33:34,
30,85f9a203-e781-11eb-8322-002590fd1374,,362.0,4960.0,1,,1,2021-07-18 10:04:28,5,2021-07-18 04:34:28,
31,a60d3353-e781-11eb-8322-002590fd1374,,361.0,1620.0,1,,1,2021-07-18 10:05:22,5,2021-07-18 04:35:22,
32,b1ebfb3e-e781-11eb-8322-002590fd1374,,361.0,360.0,1,,1,2021-07-18 10:05:42,5,2021-07-18 04:35:42,
33,8171012d-e860-11eb-8322-002590fd1374,251.0,,3800.0,0,,1,2021-07-19 12:40:37,5,2021-07-19 07:10:37,
34,2c563847-eacd-11eb-8322-002590fd1374,,373.0,15000.0,0,,1,2021-07-22 14:43:27,5,2021-07-22 09:13:27,
35,9792d197-f356-11eb-a9da-002590fd1374,,428.0,100.0,1,,1,2021-08-02 11:27:51,5,2021-08-02 05:57:51,
36,8786c490-fa6b-11eb-bc59-002590fd1374,,461.0,166000.0,1,,1,2021-08-11 11:45:23,5,2021-08-11 06:15:23,
