supplier_invoice_id,supplier_invoice_ref,supplier_id,invoice_no,invoice_date,discount,invoice_total,return_total,paid_amount,product_count,payment_type_id,payment_status_id,status,created_at,created_user_id,updated_at,updated_user_id
1,c5aa1423-8afc-11eb-939b-002590fd1374,1,START-001,2021-03-22,0.0,13300.0,0.0,13300.0,1,3,3,1,2021-03-22 16:22:32,5,2021-05-08 09:53:44,
2,00bc41c6-8afe-11eb-939b-002590fd1374,1,START-001,2021-03-22,0.0,15950.0,0.0,15950.0,1,3,3,1,2021-03-22 16:31:20,5,2021-05-08 09:53:35,
3,0bce4ad9-8aff-11eb-939b-002590fd1374,1,START-001,2021-03-22,0.0,19180.0,0.0,19180.0,1,3,3,1,2021-03-22 16:38:48,5,2021-05-08 09:53:25,
4,d7938828-8b09-11eb-939b-002590fd1374,2,6095,2021-02-19,0.0,291730.0,0.0,291730.0,40,3,3,1,2021-03-22 17:56:05,5,2021-04-23 11:31:39,
5,f5e92d7c-8b09-11eb-939b-002590fd1374,2,6100,2021-02-19,0.0,9625.0,0.0,9625.0,1,3,3,1,2021-03-22 17:56:55,5,2021-04-23 11:32:34,
6,d7f815d4-8ba7-11eb-939b-002590fd1374,1,START-001,2021-03-23,0.0,1110.0,0.0,1110.0,1,3,3,1,2021-03-23 12:47:04,5,2021-05-08 09:53:11,
7,ad3e7d7d-8bad-11eb-939b-002590fd1374,4,1518,2021-03-17,0.0,18990.0,0.0,18990.0,13,3,3,1,2021-03-23 13:28:50,5,2021-05-08 07:05:22,
8,2ebb8d9b-8bb2-11eb-939b-002590fd1374,3,1488,2021-03-15,0.0,20940.0,0.0,20940.0,1,3,3,1,2021-03-23 14:01:05,5,2021-05-08 06:37:28,
9,7ec26f65-8bbd-11eb-939b-002590fd1374,3,1490,2021-03-15,0.0,26000.0,0.0,26000.0,1,3,3,1,2021-03-23 15:22:04,5,2021-05-08 06:36:29,
10,620d920c-8bbf-11eb-939b-002590fd1374,3,1490,2021-03-15,0.0,45800.0,0.0,45800.0,2,3,3,1,2021-03-23 15:35:35,5,2021-05-08 06:35:26,
11,a4b393ee-8bc0-11eb-939b-002590fd1374,3,1490,2021-03-15,0.0,51000.0,0.0,51000.0,2,3,3,1,2021-03-23 15:44:36,5,2021-05-08 06:34:44,
12,72af6901-8bc5-11eb-939b-002590fd1374,3,1490,2021-03-15,0.0,202900.0,0.0,202900.0,5,3,3,1,2021-03-23 16:19:00,5,2021-05-08 06:34:18,
13,5d3a9d34-8bc9-11eb-939b-002590fd1374,3,1488,2021-03-15,0.0,123226.86,0.0,123226.86,7,3,3,1,2021-03-23 16:47:01,5,2021-05-08 06:37:02,
14,b7e6dd4d-8c55-11eb-939b-002590fd1374,3,6833,2021-03-12,0.0,23625.0,0.0,23625.0,1,3,3,1,2021-03-24 09:31:41,5,2021-05-08 06:33:02,
15,efe9aa43-8c56-11eb-939b-002590fd1374,3,6832,2021-03-12,0.0,10425.0,0.0,10425.0,1,3,3,1,2021-03-24 09:40:25,5,2021-05-08 06:32:39,
16,004d0bff-8c58-11eb-939b-002590fd1374,3,6831,2021-03-12,0.0,12525.0,0.0,12525.0,1,3,3,1,2021-03-24 09:48:02,5,2021-05-08 06:32:12,
17,175c7000-8c59-11eb-939b-002590fd1374,3,6830,2021-03-12,0.0,48000.0,0.0,48000.0,1,3,3,1,2021-03-24 09:55:50,5,2021-05-08 06:31:34,
18,3b7e6810-8c5b-11eb-939b-002590fd1374,3,6808,2021-03-12,0.0,20175.0,0.0,20175.0,2,3,3,1,2021-03-24 10:11:09,5,2021-05-08 06:30:01,
19,ccc198f9-8c62-11eb-939b-002590fd1374,3,0477,2021-03-15,0.0,11650.0,0.0,11650.0,2,3,3,1,2021-03-24 11:05:20,5,2021-05-08 06:37:56,
20,c8c979d8-8c7b-11eb-939b-002590fd1374,3,6819,2021-03-12,0.0,53304.5,0.0,53304.5,26,3,3,1,2021-03-24 14:04:10,5,2021-05-08 06:30:57,
21,6ab4780c-8d20-11eb-939b-002590fd1374,3,6854,2021-03-12,0.0,150047.82,0.0,150047.82,71,3,3,1,2021-03-25 09:42:38,5,2021-05-08 06:33:47,
22,61362242-8d22-11eb-939b-002590fd1374,1,,2021-03-25,0.0,1850.0,0.0,1850.0,1,3,3,1,2021-03-25 09:56:42,5,2021-05-08 09:53:01,
23,dfb36a88-8d37-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,580.0,0.0,580.0,1,3,3,1,2021-03-25 12:30:33,5,2021-05-08 09:52:23,
24,1754f75c-8d38-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,780.0,0.0,780.0,1,3,3,1,2021-03-25 12:32:06,5,2021-05-08 09:52:14,
25,682e8e64-8d38-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,5400.0,0.0,5400.0,1,3,3,1,2021-03-25 12:34:22,5,2021-05-08 09:52:04,
26,95a3e83b-8d38-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,4900.0,0.0,4900.0,1,3,3,1,2021-03-25 12:35:38,5,2021-05-08 09:51:56,
27,ca0882ea-8d38-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,10200.0,0.0,10200.0,1,3,3,1,2021-03-25 12:37:06,5,2021-05-08 09:51:45,
28,e8fc3ac2-8d39-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,3050.0,0.0,3050.0,1,3,3,1,2021-03-25 12:45:08,5,2021-05-08 09:51:33,
29,1869885a-8d3a-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,7250.0,0.0,7250.0,1,3,3,1,2021-03-25 12:46:27,5,2021-05-08 09:51:24,
30,ab074ded-8d3a-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,1482.0,0.0,1482.0,1,3,3,1,2021-03-25 12:50:33,5,2021-05-08 09:50:40,
31,eebb8a2c-8d3a-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,880.0,0.0,880.0,1,3,3,1,2021-03-25 12:52:27,5,2021-05-08 09:50:29,
32,325bada4-8d3b-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,891.0,0.0,891.0,1,3,3,1,2021-03-25 12:54:20,5,2021-05-08 09:50:22,
33,57802d22-8d3b-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,1595.0,0.0,1595.0,1,3,3,1,2021-03-25 12:55:23,5,2021-05-08 09:50:14,
34,221576fe-8d3c-11eb-939b-002590fd1374,1,START-001,2021-03-25,0.0,1080.0,0.0,1080.0,1,3,3,1,2021-03-25 13:01:02,5,2021-05-08 09:50:05,
