supplier_payment_id,supplier_payment_ref,supplier_invoice_id,payment_date,discount_amount,paid_amount,payment_type_id,cheque_no,status,created_at,created_user_id,updated_at,updated_user_id
1,f529badd-a426-11eb-8a3a-002590fd1374,151,2021-04-23,0.0,103100.0,2,588085,1,2021-04-23 16:57:57,5,2021-04-23 11:27:57,
2,79809026-a427-11eb-8a3a-002590fd1374,4,2021-05-19,0.0,291730.0,2,588084,1,2021-04-23 17:01:39,5,2021-04-23 11:31:39,
3,9a63a0cf-a427-11eb-8a3a-002590fd1374,5,2021-05-19,0.0,9625.0,2,588084,1,2021-04-23 17:02:34,5,2021-04-23 11:32:34,
4,0bf55277-a428-11eb-8a3a-002590fd1374,150,2021-06-26,0.0,128705.0,2,588085,1,2021-04-23 17:05:44,5,2021-04-23 11:35:44,
5,351fc885-afb9-11eb-9ec8-002590fd1374,182,2021-05-08,0.0,255.0,1,,1,2021-05-08 10:22:35,5,2021-05-08 04:52:35,
6,3a3a6fb2-afb9-11eb-9ec8-002590fd1374,181,2021-05-08,0.0,1695.0,1,,1,2021-05-08 10:22:43,5,2021-05-08 04:52:43,
7,0b6aa889-afc6-11eb-9ec8-002590fd1374,153,2021-04-24,0.0,5830.0,2,588092,1,2021-05-08 11:54:28,4,2021-05-08 06:24:28,
8,5eb075d1-afc6-11eb-9ec8-002590fd1374,152,2021-04-24,0.0,21500.0,2,588092,1,2021-05-08 11:56:48,4,2021-05-08 06:26:48,
9,d1e99d6b-afc6-11eb-9ec8-002590fd1374,18,2021-03-22,0.0,20175.0,2,588051,1,2021-05-08 12:00:01,4,2021-05-08 06:30:01,
10,f3169a67-afc6-11eb-9ec8-002590fd1374,20,2021-03-22,0.0,53304.5,2,588051,1,2021-05-08 12:00:57,4,2021-05-08 06:30:57,
11,0916069d-afc7-11eb-9ec8-002590fd1374,17,2021-03-22,0.0,48000.0,2,588051,1,2021-05-08 12:01:34,4,2021-05-08 06:31:34,
12,1f6d62b8-afc7-11eb-9ec8-002590fd1374,16,2021-03-22,0.0,12525.0,2,588051,1,2021-05-08 12:02:12,4,2021-05-08 06:32:12,
13,2f9ed345-afc7-11eb-9ec8-002590fd1374,15,2021-03-22,0.0,10425.0,2,588051,1,2021-05-08 12:02:39,4,2021-05-08 06:32:39,
14,3dac2ff8-afc7-11eb-9ec8-002590fd1374,14,2021-03-22,0.0,23625.0,2,588051,1,2021-05-08 12:03:02,4,2021-05-08 06:33:02,
15,5855c1ec-afc7-11eb-9ec8-002590fd1374,21,2021-03-22,0.0,150047.82,2,588051,1,2021-05-08 12:03:47,4,2021-05-08 06:33:47,
16,6a93d976-afc7-11eb-9ec8-002590fd1374,12,2021-03-22,0.0,202900.0,2,588051,1,2021-05-08 12:04:18,4,2021-05-08 06:34:18,
17,7a4f6dad-afc7-11eb-9ec8-002590fd1374,11,2021-03-22,0.0,51000.0,2,588051,1,2021-05-08 12:04:44,4,2021-05-08 06:34:44,
18,933cb8c6-afc7-11eb-9ec8-002590fd1374,10,2021-03-22,0.0,45800.0,2,588051,1,2021-05-08 12:05:26,4,2021-05-08 06:35:26,
19,b8b6e02c-afc7-11eb-9ec8-002590fd1374,9,2021-03-22,0.0,26000.0,2,588051,1,2021-05-08 12:06:29,4,2021-05-08 06:36:29,
20,ccd90c89-afc7-11eb-9ec8-002590fd1374,13,2021-03-22,0.0,123226.86,2,588051,1,2021-05-08 12:07:02,4,2021-05-08 06:37:02,
21,dbd19822-afc7-11eb-9ec8-002590fd1374,8,2021-05-08,0.0,20940.0,2,588051,1,2021-05-08 12:07:28,4,2021-05-08 06:37:28,
22,ec9109ca-afc7-11eb-9ec8-002590fd1374,19,2021-03-22,0.0,11650.0,2,588051,1,2021-05-08 12:07:56,4,2021-05-08 06:37:56,
23,c1a107f6-afcb-11eb-9ec8-002590fd1374,7,2021-03-25,0.0,18990.0,2,588052,1,2021-05-08 12:35:22,4,2021-05-08 07:05:22,
24,71ecea88-afcc-11eb-9ec8-002590fd1374,180,2021-05-08,0.0,1050.0,1,,1,2021-05-08 12:40:18,4,2021-05-08 07:10:18,
25,9bd2016b-afcc-11eb-9ec8-002590fd1374,179,2021-05-08,0.0,1500.0,1,,1,2021-05-08 12:41:28,4,2021-05-08 07:11:28,
26,a0efff77-afcc-11eb-9ec8-002590fd1374,178,2021-05-08,0.0,750.0,1,,1,2021-05-08 12:41:36,4,2021-05-08 07:11:36,
27,a62e7a91-afcc-11eb-9ec8-002590fd1374,177,2021-05-08,0.0,155.0,1,,1,2021-05-08 12:41:45,4,2021-05-08 07:11:45,
28,ac634993-afcc-11eb-9ec8-002590fd1374,176,2021-05-08,0.0,650.0,1,,1,2021-05-08 12:41:56,4,2021-05-08 07:11:56,
29,b37a3f94-afcc-11eb-9ec8-002590fd1374,175,2021-05-08,0.0,365.0,1,,1,2021-05-08 12:42:08,4,2021-05-08 07:12:08,
30,b860402c-afcc-11eb-9ec8-002590fd1374,174,2021-05-08,0.0,255.0,1,,1,2021-05-08 12:42:16,4,2021-05-08 07:12:16,
31,bd840b40-afcc-11eb-9ec8-002590fd1374,172,2021-05-08,0.0,2650.0,1,,1,2021-05-08 12:42:24,4,2021-05-08 07:12:24,
32,c342fa05-afcc-11eb-9ec8-002590fd1374,171,2021-05-08,0.0,2550.0,1,,1,2021-05-08 12:42:34,4,2021-05-08 07:12:34,
33,c807547f-afcc-11eb-9ec8-002590fd1374,170,2021-05-08,0.0,900.0,1,,1,2021-05-08 12:42:42,4,2021-05-08 07:12:42,
34,d603c845-afcc-11eb-9ec8-002590fd1374,169,2021-05-08,0.0,1960.0,1,,1,2021-05-08 12:43:05,4,2021-05-08 07:13:05,
35,dcbcdb46-afcc-11eb-9ec8-002590fd1374,168,2021-05-08,0.0,800.0,1,,1,2021-05-08 12:43:17,4,2021-05-08 07:13:17,
36,ff973268-afcc-11eb-9ec8-002590fd1374,167,2021-05-08,0.0,4160.0,1,,1,2021-05-08 12:44:15,4,2021-05-08 07:14:15,
37,0523ed4e-afcd-11eb-9ec8-002590fd1374,166,2021-05-08,0.0,290.0,1,,1,2021-05-08 12:44:25,4,2021-05-08 07:14:25,
38,0a21e2b6-afcd-11eb-9ec8-002590fd1374,165,2021-05-08,0.0,290.0,1,,1,2021-05-08 12:44:33,4,2021-05-08 07:14:33,
39,10f6a844-afcd-11eb-9ec8-002590fd1374,164,2021-05-08,0.0,600.0,1,,1,2021-05-08 12:44:44,4,2021-05-08 07:14:44,
40,16bc591b-afcd-11eb-9ec8-002590fd1374,163,2021-05-08,0.0,700.0,1,,1,2021-05-08 12:44:54,4,2021-05-08 07:14:54,
41,1d659b89-afcd-11eb-9ec8-002590fd1374,162,2021-05-08,0.0,260.0,1,,1,2021-05-08 12:45:05,4,2021-05-08 07:15:05,
42,231255e6-afcd-11eb-9ec8-002590fd1374,161,2021-05-08,0.0,130.0,1,,1,2021-05-08 12:45:15,4,2021-05-08 07:15:15,
43,2a6f2140-afcd-11eb-9ec8-002590fd1374,160,2021-05-08,0.0,295.0,1,,1,2021-05-08 12:45:27,4,2021-05-08 07:15:27,
44,45aadecc-afcd-11eb-9ec8-002590fd1374,159,2021-05-08,0.0,600.0,1,,1,2021-05-08 12:46:13,4,2021-05-08 07:16:13,
45,68d40c4e-afcd-11eb-9ec8-002590fd1374,158,2021-05-08,0.0,1470.0,1,,1,2021-05-08 12:47:12,4,2021-05-08 07:17:12,
46,f63dd9d4-afcd-11eb-9ec8-002590fd1374,173,2021-05-08,0.0,18830.0,1,,1,2021-05-08 12:51:09,4,2021-05-08 07:21:09,
47,fda03586-afd6-11eb-9ec8-002590fd1374,157,2021-05-08,0.0,1085.0,1,,1,2021-05-08 13:55:47,5,2021-05-08 08:25:47,
48,13229824-afd7-11eb-9ec8-002590fd1374,156,2021-05-08,0.0,280.0,1,,1,2021-05-08 13:56:23,5,2021-05-08 08:26:23,
49,4bc129c4-afd7-11eb-9ec8-002590fd1374,155,2021-05-08,0.0,170.0,1,,1,2021-05-08 13:57:58,5,2021-05-08 08:27:58,
50,691ec3d3-afd7-11eb-9ec8-002590fd1374,154,2021-05-08,0.0,4760.0,1,,1,2021-05-08 13:58:47,5,2021-05-08 08:28:47,
51,7a9e2f6d-afd7-11eb-9ec8-002590fd1374,149,2021-05-08,0.0,4400.0,1,,1,2021-05-08 13:59:16,5,2021-05-08 08:29:16,
52,83b5fe7c-afd7-11eb-9ec8-002590fd1374,148,2021-05-08,0.0,1400.0,1,,1,2021-05-08 13:59:32,5,2021-05-08 08:29:32,
53,20e41d04-afd9-11eb-9ec8-002590fd1374,147,2021-05-08,0.0,550.0,1,,1,2021-05-08 14:11:05,5,2021-05-08 08:41:05,
54,333fc09a-afd9-11eb-9ec8-002590fd1374,146,2021-05-08,0.0,295.0,1,,1,2021-05-08 14:11:36,5,2021-05-08 08:41:36,
55,3ab563fb-afd9-11eb-9ec8-002590fd1374,145,2021-05-08,0.0,1850.0,1,,1,2021-05-08 14:11:48,5,2021-05-08 08:41:48,
56,646c2574-afd9-11eb-9ec8-002590fd1374,144,2021-05-08,0.0,8550.0,1,,1,2021-05-08 14:12:58,5,2021-05-08 08:42:58,
57,6b648dfd-afd9-11eb-9ec8-002590fd1374,143,2021-05-08,0.0,4470.0,1,,1,2021-05-08 14:13:10,5,2021-05-08 08:43:10,
58,22ccdf74-afda-11eb-9ec8-002590fd1374,142,2021-05-08,0.0,1592.0,1,,1,2021-05-08 14:18:18,5,2021-05-08 08:48:18,
59,62a3c3a8-afda-11eb-9ec8-002590fd1374,141,2021-05-08,0.0,1508.0,1,,1,2021-05-08 14:20:05,5,2021-05-08 08:50:05,
60,738ef25f-afda-11eb-9ec8-002590fd1374,140,2021-05-08,0.0,350.0,1,,1,2021-05-08 14:20:33,5,2021-05-08 08:50:33,
61,9a7d4a7b-afda-11eb-9ec8-002590fd1374,139,2021-05-08,0.0,1860.0,1,,1,2021-05-08 14:21:38,5,2021-05-08 08:51:38,
62,9ff6e860-afda-11eb-9ec8-002590fd1374,138,2021-05-08,0.0,900.0,1,,1,2021-05-08 14:21:48,5,2021-05-08 08:51:48,
63,b3db7d39-afda-11eb-9ec8-002590fd1374,137,2021-05-08,0.0,1560.0,1,,1,2021-05-08 14:22:21,5,2021-05-08 08:52:21,
64,cf8987a7-afda-11eb-9ec8-002590fd1374,136,2021-05-08,0.0,1560.0,1,,1,2021-05-08 14:23:07,5,2021-05-08 08:53:07,
65,d961aace-afda-11eb-9ec8-002590fd1374,135,2021-05-08,0.0,2655.0,1,,1,2021-05-08 14:23:24,5,2021-05-08 08:53:24,
66,6871a6f6-afdb-11eb-9ec8-002590fd1374,134,2021-05-08,0.0,3145.0,1,,1,2021-05-08 14:27:24,5,2021-05-08 08:57:24,
67,725de978-afdb-11eb-9ec8-002590fd1374,133,2021-05-08,0.0,130.0,1,,1,2021-05-08 14:27:41,5,2021-05-08 08:57:41,
68,8d136513-afdb-11eb-9ec8-002590fd1374,132,2021-05-08,0.0,350.0,1,,1,2021-05-08 14:28:25,5,2021-05-08 08:58:25,
69,9aeb150e-afdb-11eb-9ec8-002590fd1374,131,2021-05-08,0.0,775.0,1,,1,2021-05-08 14:28:49,5,2021-05-08 08:58:49,
70,ff8d76ac-afdb-11eb-9ec8-002590fd1374,130,2021-05-08,0.0,3975.0,1,,1,2021-05-08 14:31:37,5,2021-05-08 09:01:37,
71,1fe7ce24-afdc-11eb-9ec8-002590fd1374,129,2021-05-08,0.0,350.0,1,,1,2021-05-08 14:32:31,5,2021-05-08 09:02:31,
72,2f4635d3-afdc-11eb-9ec8-002590fd1374,128,2021-05-08,0.0,875.0,1,,1,2021-05-08 14:32:57,5,2021-05-08 09:02:57,
73,36f8eb53-afdc-11eb-9ec8-002590fd1374,127,2021-05-08,0.0,1950.0,1,,1,2021-05-08 14:33:10,5,2021-05-08 09:03:10,
74,5fd04893-afdc-11eb-9ec8-002590fd1374,126,2021-05-08,0.0,1860.0,1,,1,2021-05-08 14:34:18,5,2021-05-08 09:04:18,
75,66d0c145-afdc-11eb-9ec8-002590fd1374,125,2021-05-08,0.0,480.0,1,,1,2021-05-08 14:34:30,5,2021-05-08 09:04:30,
76,724d7146-afdc-11eb-9ec8-002590fd1374,124,2021-05-08,0.0,1350.0,1,,1,2021-05-08 14:34:49,5,2021-05-08 09:04:49,
77,ead3d8e4-afdc-11eb-9ec8-002590fd1374,123,2021-05-08,0.0,1350.0,1,,1,2021-05-08 14:38:12,5,2021-05-08 09:08:12,
78,f0e6f2d8-afdc-11eb-9ec8-002590fd1374,122,2021-05-08,0.0,1700.0,1,,1,2021-05-08 14:38:22,5,2021-05-08 09:08:22,
79,0872bc61-afdd-11eb-9ec8-002590fd1374,121,2021-05-08,0.0,3250.0,1,,1,2021-05-08 14:39:01,5,2021-05-08 09:09:01,
80,37234c35-afdd-11eb-9ec8-002590fd1374,120,2021-05-08,0.0,1560.0,1,,1,2021-05-08 14:40:20,5,2021-05-08 09:10:20,
81,4b16f4a0-afdd-11eb-9ec8-002590fd1374,119,2021-05-08,0.0,650.0,1,,1,2021-05-08 14:40:53,5,2021-05-08 09:10:53,
82,c061d259-afdd-11eb-9ec8-002590fd1374,118,2021-05-08,0.0,4350.0,1,,1,2021-05-08 14:44:10,5,2021-05-08 09:14:10,
83,caac463f-afdd-11eb-9ec8-002590fd1374,117,2021-05-08,0.0,2250.0,1,,1,2021-05-08 14:44:27,5,2021-05-08 09:14:27,
84,eb36f0a7-afdd-11eb-9ec8-002590fd1374,116,2021-05-08,0.0,450.0,1,,1,2021-05-08 14:45:22,5,2021-05-08 09:15:22,
85,0383a6a8-afde-11eb-9ec8-002590fd1374,115,2021-05-08,0.0,700.0,1,,1,2021-05-08 14:46:02,5,2021-05-08 09:16:02,
86,08e0017c-afde-11eb-9ec8-002590fd1374,114,2021-05-08,0.0,3750.0,1,,1,2021-05-08 14:46:11,5,2021-05-08 09:16:11,
87,12b2cc24-afde-11eb-9ec8-002590fd1374,113,2021-05-08,0.0,875.0,1,,1,2021-05-08 14:46:28,5,2021-05-08 09:16:28,
88,24c5366b-afde-11eb-9ec8-002590fd1374,112,2021-05-08,0.0,995.0,1,,1,2021-05-08 14:46:58,5,2021-05-08 09:16:58,
89,800165ce-afde-11eb-9ec8-002590fd1374,111,2021-05-08,0.0,2900.0,1,,1,2021-05-08 14:49:31,5,2021-05-08 09:19:31,
90,85f8646b-afde-11eb-9ec8-002590fd1374,110,2021-05-08,0.0,910.0,1,,1,2021-05-08 14:49:41,5,2021-05-08 09:19:41,
91,8c148c6f-afde-11eb-9ec8-002590fd1374,109,2021-05-08,0.0,890.0,1,,1,2021-05-08 14:49:52,5,2021-05-08 09:19:52,
92,9bfd9ed9-afde-11eb-9ec8-002590fd1374,108,2021-05-08,0.0,1820.0,1,,1,2021-05-08 14:50:18,5,2021-05-08 09:20:18,
93,a0bfa617-afde-11eb-9ec8-002590fd1374,107,2021-05-08,0.0,750.0,1,,1,2021-05-08 14:50:26,5,2021-05-08 09:20:26,
94,abfc6e49-afde-11eb-9ec8-002590fd1374,106,2021-05-08,0.0,560.0,1,,1,2021-05-08 14:50:45,5,2021-05-08 09:20:45,
95,b0e3500a-afde-11eb-9ec8-002590fd1374,105,2021-05-08,0.0,6500.0,1,,1,2021-05-08 14:50:53,5,2021-05-08 09:20:53,
96,b64df4df-afde-11eb-9ec8-002590fd1374,104,2021-05-08,0.0,4570.0,1,,1,2021-05-08 14:51:02,5,2021-05-08 09:21:02,
97,bc695568-afde-11eb-9ec8-002590fd1374,103,2021-05-08,0.0,6355.0,1,,1,2021-05-08 14:51:13,5,2021-05-08 09:21:13,
98,c42d44a3-afde-11eb-9ec8-002590fd1374,102,2021-05-08,0.0,3480.0,1,,1,2021-05-08 14:51:26,5,2021-05-08 09:21:26,
99,c9698163-afde-11eb-9ec8-002590fd1374,101,2021-05-08,0.0,2350.0,1,,1,2021-05-08 14:51:34,5,2021-05-08 09:21:34,
100,d039a1f4-afde-11eb-9ec8-002590fd1374,100,2021-05-08,0.0,1950.0,1,,1,2021-05-08 14:51:46,5,2021-05-08 09:21:46,
101,d56c5529-afde-11eb-9ec8-002590fd1374,99,2021-05-08,0.0,2250.0,1,,1,2021-05-08 14:51:55,5,2021-05-08 09:21:55,
102,dadcd66d-afde-11eb-9ec8-002590fd1374,98,2021-05-08,0.0,1950.0,1,,1,2021-05-08 14:52:04,5,2021-05-08 09:22:04,
103,e0948998-afde-11eb-9ec8-002590fd1374,97,2021-05-08,0.0,3390.0,1,,1,2021-05-08 14:52:13,5,2021-05-08 09:22:13,
