supplier_id,supplier_ref,supplier_name,address,contact_no,email,contact_person_name,contact_person_number,bf_balance,balance,status,created_at,created_user_id,updated_at,updated_user_id
1,72da8c9a-3a82-11eb-8393-00e18c9a6c8e,Walk-in Supplier,Medawachchiya,0777777878,walkinsupplier@gmail.com,,,0.0,1788616.81,1,,,2025-03-07 04:35:39,
2,7624efe4-8afc-11eb-939b-002590fd1374,Siyolta Lanka Distributors,"44/4,
Lanarole Mw,
Bomiriya Kaduwela.",0252224650,,[3/4 L handle RTN],,0.0,139002.75,1,2021-03-22 16:20:18,5.0,2025-03-08 09:46:28,5.0
3,cec20a75-8ba4-11eb-939b-002590fd1374,KDI International (INGCO)RETURNCentrifugal Pump 1.0HP - INGCO,"100 1/1,
Pamankada Road,
Colombo 06.","0112500672, 07750427",Pamankada@hotmail.Com,[2871Broken Item],,0.0,497345.57,1,2021-03-23 12:25:21,5.0,2025-03-14 11:50:20,5.0
4,9d5ae7fc-8ba5-11eb-939b-002590fd1374,Spectra Industries Lanka (PVT) ltd,"521/31,
4th Cross Street,
New Bus Stand,
Anuradhapura.",0254549944,,,,0.0,0.0,0,2021-03-23 12:31:07,5.0,2023-04-05 19:17:27,5.0
5,5e52cce3-afeb-11eb-9ec8-002590fd1374,Ranathunga Distributors,Polonnaruwa,0777683183,,,,0.0,0.0,0,2021-05-08 16:21:39,4.0,2023-03-13 22:39:59,5.0
6,51907f50-b14a-11eb-9ec8-002590fd1374,Jayakirana PVT.Ltd,"397,New Kandy Road,, Delgoda",011-2402619,,0771095638,,0.0,0.0,1,2021-05-10 10:13:48,5.0,2024-02-20 05:46:34,5.0
7,cc83e1d1-b3b4-11eb-9ec8-002590fd1374,K.J Electricals,"PolaBhuita,Polonnaruwa",077-7683183,,,,0.0,0.0,1,2021-05-13 12:00:58,5.0,2021-10-11 12:28:15,
8,28fa95ea-b6f6-11eb-8815-002590fd1374,Kelani Cables PLC,"PO Box.14,Wewelduwa,Kelaniya",0777583689/011-29132,[369 Bulb RTN],,,0.0,516669.9872,1,2021-05-17 15:26:27,5.0,2025-03-17 11:47:22,5.0
9,44747909-e13a-11eb-8322-002590fd1374,TNR Holdings Lanka (Pvt)Ltd,"No532/2A Suduwella,wennappuwa",0768480740/077335895,,,,0.0,-7.5,1,2021-07-10 10:19:31,5.0,2024-11-01 09:08:25,5.0
10,1447a44f-e143-11eb-8322-002590fd1374,RMA Distributors (DIMO Bulb),Rambewa,0772147119,,,,0.0,134360.0,1,2021-07-10 11:22:36,5.0,2025-03-21 11:13:43,5.0
11,50bc9517-e45b-11eb-8322-002590fd1374,Srikumaran Stores,"NO-1049, Thirunagar South, Kilinochchi.",0210000000,,,,0.0,0.0,0,2021-07-14 09:53:32,5.0,2023-02-17 16:28:59,5.0
12,5e06982f-e495-11eb-8322-002590fd1374,Samadhi Hardware,"NO.358/C Temple road, Weboda North, Weboda",077-9051830,,,,0.0,0.0,1,2021-07-14 16:49:05,5.0,2023-07-01 05:16:41,
13,1845c3c7-e865-11eb-8322-002590fd1374,Mahagedara Distributor (Kevilton Electrical Products),Sooryagaha Mawatha Anuradhapura,025-2053860,,"[Breaker,Bulb RTN]",,0.0,483769.91,1,2021-07-19 13:13:28,5.0,2025-03-22 11:59:22,5.0
14,f50645fb-e940-11eb-8322-002590fd1374,BR & Dc Distributors - return 1307,"No 26 C,Anuradhapura Road,Padeniya.",071-7774780,,[Bird lock],,0.0,90753.036,1,2021-07-20 15:27:16,5.0,2025-02-22 11:03:13,5.0
15,0417307a-f046-11eb-a9da-002590fd1374,SR Steel (Pvt) Ltd,Collombo,0112421373,,,,0.0,-2.9802322387695e-08,1,2021-07-29 13:51:44,4.0,2021-07-29 08:33:43,
16,c6c6cb4a-f390-11eb-a9da-002590fd1374,Murex Lanka Marketing,Kandy,0777073024,,,,0.0,0.0,0,2021-08-02 18:24:20,5.0,2023-04-05 19:25:05,5.0
17,2373a09f-f429-11eb-a9da-002590fd1374,ASIAN Distributors-ANURADAPURA,"NO-521/43D,
Maithtripala Senanayaka Mw,
Anuradhapura.",0774447538/071511106,0252225769,[RTN Sink],,0.0,105258.5,1,2021-08-03 12:34:58,5.0,2025-03-22 05:48:31,5.0
18,b6ab5bff-f42e-11eb-a9da-002590fd1374,Douglas-Nissanka,Panchikawaththe Road .Collombo 10,0115608444,,[RTN835],,0.0,0.0,1,2021-08-03 13:14:52,5.0,2023-03-21 11:23:58,5.0
19,3f706065-f433-11eb-a9da-002590fd1374,Kadurata Hardware,Medawachchiya,-,,,,0.0,0.0,1,2021-08-03 13:47:19,5.0,2025-02-07 09:46:09,5.0
20,f9d64dac-fe75-11eb-bd28-002590fd1374,Provide Lanka Marketing Services,"no.633/4/15,nedungamuwa,gampaha
0770122080/077737630",Ref :0770128751,,[RTN 2839 Bird lock],,0.0,446546.9148,1,2021-08-16 15:10:21,5.0,2025-03-20 12:06:15,5.0
21,7bde0bb2-fe76-11eb-bd28-002590fd1374,City Hardware Medawachchiya,Medawachchiya,025-2245299,-,,,0.0,116249.94,1,2021-08-16 15:13:59,5.0,2025-03-20 07:55:54,5.0
22,ecca5fea-fe7e-11eb-bd28-002590fd1374,Jayawardena Trading Company,"NO.110,MARKET SITE, ANURADHAPURA",0252237618/025224556,,,,0.0,594200.0,1,2021-08-16 16:14:25,5.0,2025-03-24 04:37:01,5.0
23,073255fd-ff42-11eb-bd28-002590fd1374,Chint Energy (PVT) Ltd JGSenadeera,804 Stage 2 Apura,0760955362,,,,0.0,63318.0,1,2021-08-17 15:30:59,5.0,2025-02-28 12:04:46,5.0
24,5aa0a403-0003-11ec-bd28-002590fd1374,RASIKA BRAS,COLOMBO,0775409343,,,,0.0,0.0,1,2021-08-18 14:34:50,5.0,2024-08-05 12:02:23,
25,acddc603-000a-11ec-bd28-002590fd1374,keselwaththa,Keselwaththa panadura,0772547700,,[RTN-884],,0.0,0.0,1,2021-08-18 15:27:14,5.0,2025-02-19 16:50:34,5.0
26,ea7885b7-1dcb-11ec-bd28-002590fd1374,R.N.R Agencies (PVT) LTD Rs14769 Aduwiya Uthui,"NO: 120, Galle Road, Henamulla, Panadura.",0382297377,,[RTN],,0.0,315676.78,1,2021-09-25 12:12:28,5.0,2025-03-04 10:21:37,5.0
27,c7f0d0d7-2118-11ec-98ee-002590fd1374,Ransanda Nidan Wasthu,"NO; 52/2, Ullandupitiya,Werellagama,Kandy","077-5158489 , 076-94",,,,0.0,0.0,1,2021-09-29 17:01:24,5.0,2024-09-25 11:30:37,5.0
28,82cd5cc7-21c5-11ec-bfb2-002590fd1374,Sujeewa Enterprises  (KRYPTON),NO64/05 Market Plase Anuradhapura,0717038678,,[RTN-2338},,0.0,57699.6594,1,2021-09-30 13:37:51,5.0,2025-03-10 09:36:16,5.0
